Installation ID,Permit ID,Operator,Installation name,Address,Allocations,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Allocation total (per installation) ,Unnamed: 11,Lat,Lon
IT-1,IT-A-1,SKF INDUSTRIE S.P.A.,CENTRALE TERMICA,"Pinerolo, 42 - 10060 - AIRASCA (TO)",9885.0,9885.0,9885.0,9885.0,9885.0,49425.0,,44.9107267,7.4562966
IT-2,IT-A-2,SER SRL,Centrale a Biomasse S. E. R. S. r. l.,"CORSO MATTEOTTI, 117 - 60125 - ANCONA (AN)",4036.0,4036.0,4036.0,4036.0,4036.0,20180.0,,43.6034396,13.0583212
IT-3,IT-A-3,METAN ALPI ENERGIA S.r.l.,IMPIANTO DI COGENERAZIONE E TELERISCALDAMENTO DI BARDONECCHIA,"via Sottoripa, 7/10-12 - 16124 - GENOVA (GE)",39362.0,39362.0,39362.0,39362.0,39362.0,196810.0,,44.40726,8.9338624
IT-4,IT-A-5,Fenice S.p.A.,Centrale termica,"Via Acqui, 86 - 10098 - RIVOLI (TO)",15766.0,15766.0,15766.0,15766.0,15766.0,78830.0,,45.06616,7.5611447
IT-5,IT-A-6,Martini & Rossi S.p.A,impianti di combustione con una potenza calorifica di combustione di oltre 20 MW,"C.so Vittorio Emanuele II, 42 - 10100 - TORINO (TO)",5854.0,5854.0,5854.0,5854.0,5854.0,29270.0,,45.0614587,7.683097
IT-6,IT-A-7,EDIPOWER SPA,CENTRALE TERMOELETTRICA DI CHIVASSO,"FORO BUONAPARTE, 31 - 20100 - MILANO (MI)",2038877.0,1936933.0,1855378.0,1753434.0,1671879.0,9256501.0,,45.4675304,9.1787643
IT-7,IT-A-8,EPICA SRL,FRONT CANAVESE,"Via Gelasio Adamoli, 269 - 16138 - GENOVA (GE)",31835.0,31835.0,31835.0,31835.0,31835.0,159175.0,,44.4527923,8.9898277
IT-8,IT-A-9,CARTIERA SANTA LIDA SPA,CARTIERA SANTA LIDA SPA,"vIA CELSO MIGLIETTI, 69 - 10070 - GERMAGNANO (TO)",32163.0,32163.0,32163.0,32163.0,32163.0,160815.0,,45.2608231,7.4608511
IT-9,IT-A-10,Fenice S.p.A.,Centrale termica,"Via Acqui, 86 - 10098 - RIVOLI (TO)",2193.0,2193.0,2193.0,2193.0,2193.0,10965.0,,45.06616,7.5611447
IT-10,IT-A-11,CARROZZERIA BERTONE S.p.A.,CARROZZERIA BERTONE S.p.A.,"Viale Nuccio BERTONE, 2 - 10095 - GRUGLIASCO (TO)",21834.0,21834.0,21834.0,21834.0,21834.0,109170.0,,45.0513186,7.594543
