CN_Code,Description
01001100,SEZIONE I - ANIMALI VIVI E PRODOTTI DEL REGNO ANIMALE
01002100,CAPITOLO 1 - ANIMALI VIVI
01010000,"0101 Cavalli, asini, muli e bardotti, vivi"
01012100,0101 21 00 -- riproduttori di razza pura
01012900,0101 29 -- altri
01012910,0101 29 10 --- destinati alla macellazione
01012990,0101 29 90 --- altri
01013000,0101 30 00 - Asini
01019000,0101 90 00 - altri
01020000,0102 Animali vivi della specie bovina
01022100,0102 21 -- riproduttori di razza pura
01022110,0102 21 10 --- Giovenche (bovini femmine che non hanno ancora figliato)
01022130,0102 21 30 --- Vacche
01022190,0102 21 90 --- altri
01022900,0102 29 -- altri
01022905,0102 29 05 --- del sottogenere Bibos o del sottogenere Poephagus
01022910,0102 29 10 ---- di peso inferiore o uguale a 80 kg
01022921,---- di peso superiore a 80 kg e inferiore o uguale a 160 kg
01022929,0102 29 29 ----- altri
01022941,---- di peso superiore a 160 kg e inferiore o uguale a 300 kg
01022949,0102 29 49 ----- altri
01022951,----- Giovenche (bovini femmine che non hanno ancora figliato)
01022959,0102 29 59 ------ altre
01022961,0102 29 61 ------ destinate alla macellazione
01022969,0102 29 69 ------ altre
01022991,0102 29 91 ------ destinati alla macellazione
01022999,0102 29 99 ------ altri
01023100,0102 31 00 -- riproduttori di razza pura
01023900,0102 39 -- altri
01023910,0102 39 10 --- delle specie domestiche
01023990,0102 39 90 --- altri
01029000,0102 90 - altri
01029020,0102 90 20 -- riproduttori di razza pura
01029091,0102 90 91 --- delle specie domestiche
01029099,0102 90 99 --- altri
01030000,0103 Animali vivi della specie suina
01031000,0103 10 00 - riproduttori di razza pura
01039100,0103 91 -- di peso inferiore a 50 kg
01039110,0103 91 10 --- delle specie domestiche
01039190,0103 91 90 --- altri
01039200,0103 92 -- di peso uguale o superiore a 50 kg
01039211,0103 92 11 ---- Scrofe che hanno figliato almeno una volta e di un peso minimo di 160 kg
01039219,0103 92 19 ---- altri
01039290,0103 92 90 --- altri
01040000,0104 Animali vivi delle specie ovina o caprina
01041000,0104 10 - della specie ovina
01041010,0104 10 10 -- riproduttori di razza pura
01041030,0104 10 30 --- Agnelli (fino ad un anno di età)
01041080,0104 10 80 --- altri
01042000,0104 20 - della specie caprina
01042010,0104 20 10 -- riproduttori di razza pura
01042090,0104 20 90 -- altri
01050000,"0105 Pollame vivo, vale a dire galli e galline della specie Gallus domesticus, anatre, oche, tacchini, tacchine e faraone"
01051100,0105 11 -- Galli e galline della specie Gallus domesticus
01051111,--- Pulcini femmine per la selezione e la riproduzione
01051119,0105 11 19 ---- altri
01051191,0105 11 91 ---- Razze ovaiole
01051199,0105 11 99 ---- altri
01051200,0105 12 00 -- Tacchine e tacchini
01051300,0105 13 00 -- Anatre
01051400,0105 14 00 -- Oche
01051500,0105 15 00 -- Faraone
01059400,0105 94 00 -- Galli e galline della specie Gallus domesticus
01059900,0105 99 -- altri
01059910,0105 99 10 --- Anatre
01059920,0105 99 20 --- Oche
